"","X.miRNA","read_count","precursor","total","XmiRNA1","XmiRNA2","XmiRNA3","XmiRNA4","XmiRNA5","XmiRNA6","XmiRNA7","XmiRNA8","XmiRNA9","XmiRNA10","XmiRNA11","XmiRNA12","XmiRNA13","XmiRNA14","XmiRNA15","XmiRNA16","XmiRNA17","XmiRNA18","XmiRNA19","XmiRNA20","XmiRNA21","XmiRNA22","XmiRNA23","XmiRNA24","XmiRNA25","XmiRNA26","XmiRNA27","XmiRNA28","XmiRNA29","XmiRNA30","XmiRNA31","XmiRNA32","XmiRNA33","XmiRNA34","XmiRNA35","XmiRNA36","XmiRNA37","XmiRNA38","XmiRNA39","XmiRNA40","XmiRNA41","XmiRNA42","XmiRNA43","XmiRNA44","XmiRNA45","XmiRNA46","X10miRNA1.norm.","XmiRNA2.norm.","XmiRNA3.norm.","XmiRNA4.norm.","XmiRNA5.norm.","XmiRNA6.norm.","XmiRNA7.norm.","XmiRNA8.norm.","XmiRNA9.norm.","XmiRNA10.norm.","XmiRNA11.norm.","XmiRNA12.norm.","XmiRNA13.norm.","XmiRNA14.norm.","XmiRNA15.norm.","XmiRNA16.norm.","XmiRNA17.norm.","XmiRNA18.norm.","XmiRNA19.norm.","XmiRNA20.norm.","XmiRNA21.norm.","XmiRNA22.norm.","XmiRNA23.norm.","XmiRNA24.norm.","XmiRNA25.norm.","XmiRNA26.norm.","XmiRNA27.norm.","XmiRNA28.norm.","XmiRNA29.norm.","XmiRNA30.norm.","XmiRNA31.norm.","XmiRNA32.norm.","XmiRNA33.norm.","XmiRNA34.norm.","XmiRNA35.norm.","XmiRNA36.norm.","XmiRNA37.norm.","XmiRNA38.norm.","XmiRNA39.norm.","XmiRNA40.norm.","XmiRNA41.norm.","XmiRNA42.norm.","XmiRNA43.norm.","XmiRNA44.norm.","XmiRNA45.norm.","XmiRNA46.norm."
"11","chr1_132639",313,"chr1_132639",313,27,14,3,0,5,2,38,4,11,1,0,11,1,5,1,1,27,4,2,0,9,12,2,1,5,0,2,1,1,0,4,30,1,6,2,0,2,5,3,6,5,21,0,5,13,20,6.73,5.87,1.29,0,1.45,0.74,27.06,0.5,2.49,0.32,0,3.29,0.13,4.86,0.2,0.18,3.22,1.07,0.31,0,1.94,1.29,0.83,0.84,0.96,0,0.96,0.26,0.37,0,0.94,2.53,0.68,2.29,0.54,0,0.46,0.8,0.74,2,0.77,6.05,0,4.77,3.69,3.6
"12","chr1_133082",266,"chr1_133082",266,0,0,0,0,11,0,0,0,0,33,0,0,0,9,34,12,0,68,0,0,0,0,0,0,0,0,4,0,17,7,0,0,0,0,0,0,0,0,13,0,0,21,16,21,0,0,0,0,0,0,3.19,0,0,0,0,10.71,0,0,0,8.74,6.89,2.2,0,18.22,0,0,0,0,0,0,0,0,1.92,0,6.27,12.13,0,0,0,0,0,0,0,0,3.19,0,0,6.05,46.93,20.01,0,0
"13","chr1_133460",46665,"chr1_133460",46665,673,98,188,521,805,90,1432,457,474,4149,1716,915,293,533,1279,1131,106,2523,1155,1944,609,623,1458,359,779,552,715,1971,2087,591,5340,368,489,621,1064,1149,266,260,1104,239,1044,900,843,626,1146,980,167.76,41.1,80.55,329.48,233.73,33.1,1019.77,57.02,107.17,1346.89,1334.49,273.77,38.49,517.88,259.07,207.1,12.64,676.03,176.36,1255.33,131.57,67.12,605.76,302.38,149.49,173.28,342.53,521.05,769.83,1024.38,1255.22,31.09,330.25,237.03,289.37,897.1,60.56,41.5,270.71,79.61,160.09,259.37,2472.67,596.6,325.14,176.45
"14","chr1_13494",9506,"chr1_13494",9506,0,91,15,158,3,0,280,0,4,26,248,2,0,8,87,326,0,1,1457,4,0,64,1529,1412,134,0,261,5,3,8,1521,5,225,0,1078,4,1,1,29,0,48,42,145,131,6,144,0,38.16,6.43,99.92,0.87,0,199.4,0,0.9,8.44,192.86,0.6,0,7.77,17.62,59.69,0,0.27,222.48,2.58,0,6.9,635.26,1189.31,25.71,0,125.04,1.32,1.11,13.87,357.53,0.42,151.96,0,293.18,3.12,0.23,0.16,7.11,0,7.36,12.1,425.31,124.85,1.7,25.93
"15","chr1_139282",22655,"chr1_139282",22655,17,17,66,66,221,52,200,62,37,602,2,118,76,404,158,1089,16,344,450,477,73,182,276,2531,111,91,3545,110,104,148,5769,414,338,201,1201,22,86,15,890,76,193,385,980,151,49,240,4.24,7.13,28.28,41.74,64.17,19.13,142.43,7.74,8.37,195.43,1.56,35.31,9.98,392.54,32,199.41,1.91,92.17,68.71,308.02,15.77,19.61,114.67,2131.84,21.3,28.57,1698.28,29.08,38.36,256.53,1356.06,34.97,228.27,76.72,326.63,17.18,19.58,2.39,218.24,25.31,29.6,110.95,2874.52,143.91,13.9,43.21
"16","chr1_139551",231,"chr1_139551",231,0,0,38,0,11,0,32,0,53,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,5,0,17,8,26,0,9,1,0,0,0,0,16.28,0,3.19,0,22.79,0,11.98,1.3,0,0,0,3.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.96,1.14,0,4.17,2.66,3.99,0,26.4,0.95,0,0
"17","chr1_14660",30,"chr1_14660",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","chr1_154488",31926,"chr1_154488",31926,284,61,85,367,705,154,1151,260,456,3401,112,414,106,458,552,1167,62,1660,825,770,315,511,1198,516,655,367,684,1252,1746,526,3935,179,344,452,543,854,241,243,318,178,527,473,552,408,893,966,70.79,25.58,36.42,232.09,204.7,56.64,819.66,32.44,103.1,1104.07,87.1,123.87,13.92,445.01,111.81,213.69,7.4,444.79,125.97,497.22,68.05,55.06,497.74,434.62,125.69,115.2,327.68,330.98,644.04,911.71,924.96,15.12,232.33,172.53,147.68,666.77,54.87,38.79,77.98,59.29,80.81,136.31,1619.11,388.84,253.36,173.93
"19","chr1_157051",322,"chr1_157051",322,0,8,0,27,6,0,0,16,20,5,0,0,16,0,22,42,9,0,0,0,0,0,15,8,0,31,0,0,0,7,1,0,8,0,55,1,0,21,0,0,0,0,3,1,0,0,0,3.35,0,17.07,1.74,0,0,2,4.52,1.62,0,0,2.1,0,4.46,7.69,1.07,0,0,0,0,0,6.23,6.74,0,9.73,0,0,0,12.13,0.24,0,5.4,0,14.96,0.78,0,3.35,0,0,0,0,8.8,0.95,0,0
"20","chr1_158642",37,"chr1_158642",37,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","chr1_16208",43,"chr1_16208",43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0,4.49,0,0,0,0,0,0,0,0,0,0,0,0,0,4.61,0,0,0,0
"22","chr1_162121",32,"chr1_162121",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.76
"23","chr1_170073",3282,"chr1_170073",3282,457,0,204,0,90,12,0,13,39,140,0,57,85,56,107,0,1,95,122,37,8,212,0,0,110,148,3,0,110,35,0,44,135,84,1,137,108,0,106,61,57,139,68,45,156,0,113.92,0,87.41,0,26.13,4.41,0,1.62,8.82,45.45,0,17.05,11.17,54.41,21.67,0,0.12,25.45,18.63,23.89,1.73,22.84,0,0,21.11,46.46,1.44,0,40.58,60.67,0,3.72,91.17,32.06,0.27,106.96,24.59,0,25.99,20.32,8.74,40.06,199.46,42.89,44.26,0
"24","chr1_174880",148,"chr1_174880",148,8,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,14,0,34,25,14,0,15,0,9,0,0,0,0,0,1,0,0,0,0,1,3,3,0,0,0,0,0,3,1.99,0,0,0,0,0,0,1.12,0,2.92,0,0,0,0,0,0,0,0,2.14,0,7.35,2.69,5.82,0,2.88,0,4.31,0,0,0,0,0,0.68,0,0,0,0,0.16,0.74,1,0,0,0,0,0,0.54
"25","chr1_177058",66120,"chr1_177058",66120,667,205,499,1020,1542,377,1676,1089,1645,4870,1742,1058,701,1622,2054,776,254,3743,1545,4354,750,1418,839,651,1524,999,658,797,2199,1504,1291,785,910,848,5801,1160,743,171,1658,904,1729,1779,1116,1405,1712,1330,166.27,85.97,213.8,645.05,447.72,138.67,1193.52,135.88,371.95,1580.95,1354.71,316.55,92.09,1575.98,416.05,142.1,30.3,1002.92,235.91,2811.58,162.03,152.78,348.58,548.33,292.45,313.59,315.22,210.7,811.14,2606.87,303.46,66.31,614.58,323.68,1577.66,905.69,169.17,27.3,406.56,301.11,265.13,512.69,3273.43,1339.02,485.72,239.47
"26","chr1_181131",19,"chr1_181131",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","chr1_185204",7585,"chr1_185204",7585,203,44,43,73,227,103,38,295,199,227,0,296,201,92,159,155,63,266,64,150,240,83,119,189,80,164,210,247,430,39,380,70,35,154,0,179,159,142,335,259,245,383,118,33,257,137,50.6,18.45,18.42,46.17,65.91,37.89,27.06,36.81,45,73.69,0,88.56,26.4,89.39,32.21,28.38,7.52,71.27,9.77,96.86,51.85,8.94,49.44,159.19,15.35,51.48,100.6,65.3,158.61,67.6,89.32,5.91,23.64,58.78,0,139.76,36.2,22.67,82.15,86.27,37.57,110.38,346.12,31.45,72.92,24.67
"28","chr1_185905",27,"chr1_185905",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,0,0,0,0,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","chr1_190367",18,"chr1_190367",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.19,0,0,0,0
"30","chr1_191484",41384,"chr1_191484",41384,134,71,163,795,324,86,992,225,234,912,2,35,128,208,294,1779,59,496,725,196,163,488,981,9206,306,259,7037,893,446,290,7450,148,404,106,1130,241,261,76,859,209,221,516,1140,172,47,477,33.4,29.77,69.84,502.76,94.07,31.63,706.43,28.08,52.91,296.06,1.56,10.47,16.81,202.1,59.55,325.76,7.04,132.9,110.7,126.57,35.21,52.58,407.58,7754.12,58.72,81.3,3371.17,236.07,164.51,502.65,1751.19,12.5,272.85,40.46,307.32,188.16,59.43,12.13,210.64,69.62,33.89,148.71,3343.82,163.92,13.33,85.88
"31","chr1_192064",232348,"chr1_192064",232348,2028,550,1897,2977,7149,1903,14174,6377,9733,10798,3208,4168,3802,2291,4108,4284,1169,12437,3671,11796,2824,6881,4741,1187,3519,4396,2505,5393,6385,2276,3648,3243,5404,2315,15085,6060,4264,908,5751,3247,6312,7995,2050,3890,6294,7255,505.53,230.64,812.79,1882.65,2075.71,699.96,10093.69,795.72,2200.69,3505.35,2494.77,1247.05,499.45,2226.01,832.1,784.45,139.45,3332.45,560.55,7617.22,610.09,741.37,1969.77,999.8,675.28,1379.94,1200.05,1425.69,2355.22,3944.97,857.5,273.94,3649.68,883.63,4102.56,4731.43,970.85,144.94,1410.2,1081.54,967.91,2304.08,6013.02,3707.31,1785.72,1306.28
"32","chr1_19334",18,"chr1_19334",18,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","chr1_193655",55,"chr1_193655",55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.96,0,0,0,0,0,0,0,0,0,0,0
"34","chr1_199242",296,"chr1_199242",296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,113,0,0,0,38,0,1,0,0,40,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0.27,0,72.97,0,0,0,32.01,0,0.31,0,0,14.75,0,0,0,68.89,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","chr1_202500",79586,"chr1_202500",79586,67,171,77,378,533,32,363,5,88,863,391,102,94,294,272,7441,35,550,2222,420,53,203,2149,1926,242,166,7646,929,257,184,40640,359,372,110,1889,62,134,107,1470,220,620,924,3838,212,173,303,16.7,71.71,32.99,239.05,154.76,11.77,258.5,0.62,19.9,280.16,304.07,30.52,12.35,285.66,55.1,1362.54,4.18,147.37,339.29,271.21,11.45,21.87,892.85,1622.25,46.44,52.11,3662.92,245.59,94.8,318.93,9552.81,30.33,251.24,41.99,513.74,48.41,30.51,17.08,360.46,73.28,95.07,266.29,11257.54,202.04,49.08,54.56
"36","chr1_203961",28,"chr1_203961",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","chr1_218757",1785,"chr1_218757",1785,32,0,9,0,93,0,0,156,29,101,0,16,176,19,1,0,0,95,0,1,21,118,0,0,0,29,0,0,11,10,0,13,49,55,102,32,15,0,40,11,57,245,0,167,82,0,7.98,0,3.86,0,27,0,0,19.47,6.56,32.79,0,4.79,23.12,18.46,0.2,0,0,25.45,0,0.65,4.54,12.71,0,0,0,9.1,0,0,4.06,17.33,0,1.1,33.09,20.99,27.74,24.98,3.42,0,9.81,3.66,8.74,70.61,0,159.16,23.26,0
"38","chr1_219330",50,"chr1_219330",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.14,0,8.14,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0
"39","chr1_231988",200119,"chr1_231988",200119,629,123,1259,2128,2311,203,3575,879,985,7543,332,936,756,2336,1646,7738,261,4470,6703,2464,534,1820,4403,25636,2329,1559,30560,3156,2115,5138,28100,5721,2404,1019,6979,1199,1096,285,5274,2236,2795,3269,11319,1311,960,1625,156.79,51.58,539.43,1345.75,671,74.67,2545.85,109.68,222.71,2448.68,258.19,280.05,99.31,2269.73,333.41,1416.92,31.13,1197.72,1023.52,1591.12,115.36,196.09,1829.33,21592.94,446.92,489.38,14640.19,834.32,780.15,8905.65,6605.17,483.26,1623.58,388.95,1898.03,936.14,249.54,45.49,1293.24,744.78,428.6,942.09,33200.66,1249.43,272.37,292.58
"40","chr1_2332",58,"chr1_2332",58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,9,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,2.21,0.67,0,0,0,0.95,0,0
"41","chr1_234229",85050,"chr1_234229",85050,101,76,417,175,868,39,1373,177,205,2521,64,241,169,995,675,3978,42,1091,1813,1020,154,573,1184,12972,582,268,13847,1117,421,986,18916,2674,839,275,4703,158,353,49,2263,463,494,1098,3823,303,274,221,25.18,31.87,178.67,110.67,252.02,14.35,977.75,22.09,46.35,818.39,49.77,72.11,22.2,966.77,136.73,728.42,5.01,292.33,276.84,658.66,33.27,61.74,491.92,10926.18,111.68,84.13,6633.6,295.29,155.29,1709.03,4446.38,225.87,566.63,104.97,1279.04,123.36,80.37,7.82,554.91,154.22,75.75,316.43,11213.54,288.77,77.74,39.79
"42","chr1_235380",37455,"chr1_235380",37455,494,71,424,327,954,289,1406,1620,1277,1993,272,525,423,542,554,372,346,1795,910,1721,594,1115,490,180,604,751,331,707,1393,553,362,460,759,803,3315,1064,643,84,859,599,889,1359,462,880,1020,864,123.14,29.77,181.67,206.79,276.99,106.3,1001.25,202.14,288.74,646.99,211.53,157.08,55.57,526.62,112.22,68.12,41.27,480.96,138.95,1111.33,128.33,120.13,203.58,151.61,115.9,235.75,158.57,186.9,513.83,958.51,85.09,38.86,512.6,306.5,901.56,830.73,146.4,13.41,210.64,199.52,136.32,391.65,1355.13,838.67,289.39,155.56
"43","chr1_235931",57,"chr1_235931",57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.5,0,0,0,0,0,0,0,0,0,0
"44","chr1_236337",20,"chr1_236337",20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","chr1_240220",305,"chr1_240220",305,1,0,0,0,16,0,0,1,0,0,0,0,2,0,1,0,31,1,0,0,0,40,0,24,0,5,0,0,0,1,1,22,0,0,114,0,0,1,1,0,21,14,8,0,0,0,0.25,0,0,0,4.65,0,0,0.12,0,0,0,0,0.26,0,0.2,0,3.7,0.27,0,0,0,4.31,0,20.21,0,1.57,0,0,0,1.73,0.24,1.86,0,0,31,0,0,0.16,0.25,0,3.22,4.03,23.47,0,0,0
"46","chr1_243119",69,"chr1_243119",69,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","chr1_244059",51,"chr1_244059",51,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,2.92,0,0,0,0,0,0,0,0,0,26.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
